Date,Open,High,Low,Close,Adj Close,Volume
2019-11-12,261.549988,262.790009,260.920013,261.959991,261.959991,21847200
2019-11-13,261.130005,264.779999,261.070007,264.470001,264.470001,25683600
2019-11-14,263.750000,264.880005,262.100006,262.640015,262.640015,22295700
2019-11-15,263.679993,265.779999,263.010010,265.760010,265.760010,25051600
2019-11-18,265.799988,267.429993,264.230011,267.100006,267.100006,21675800
2019-11-19,267.899994,268.000000,265.390015,266.290009,266.290009,19041800
2019-11-20,265.540009,266.079987,260.399994,263.190002,263.190002,26558600
2019-11-21,263.690002,264.010010,261.179993,262.010010,262.010010,30348800
2019-11-22,262.589996,263.179993,260.839996,261.779999,261.779999,16331300
2019-11-25,262.709991,266.440002,262.519989,266.369995,266.369995,21005100
2019-11-26,266.940002,267.160004,262.500000,264.290009,264.290009,26301900
2019-11-27,265.579987,267.980011,265.309998,267.839996,267.839996,16308900
2019-11-29,266.600006,268.000000,265.899994,267.250000,267.250000,11654400
2019-12-02,267.269989,268.250000,263.450012,264.160004,264.160004,23621800
2019-12-03,258.309998,259.529999,256.290009,259.450012,259.450012,28607600
2019-12-04,261.070007,263.309998,260.679993,261.739990,261.739990,16795400
2019-12-05,263.790009,265.890015,262.730011,265.579987,265.579987,18606100
2019-12-06,267.480011,271.000000,267.299988,270.709991,270.709991,26518900
2019-12-09,270.000000,270.799988,264.910004,266.920013,266.920013,32010600
2019-12-10,268.600006,270.070007,265.859985,268.480011,268.480011,22605100
2019-12-11,268.809998,271.100006,268.500000,270.769989,270.769989,19689200
2019-12-12,267.779999,272.559998,267.320007,271.459991,271.459991,34327600
2019-12-13,271.459991,275.299988,270.929993,275.149994,275.149994,33396900
2019-12-16,277.000000,280.790009,276.980011,279.859985,279.859985,32046500
2019-12-17,279.570007,281.769989,278.799988,280.410004,280.410004,28539600
2019-12-18,279.799988,281.899994,279.119995,279.739990,279.739990,29007100
2019-12-19,279.500000,281.179993,278.950012,280.019989,280.019989,24592300
2019-12-20,282.230011,282.649994,278.559998,279.440002,279.440002,68994500
2019-12-23,280.529999,284.250000,280.369995,284.000000,284.000000,24643000
2019-12-24,284.690002,284.890015,282.920013,284.269989,284.269989,12119700
2019-12-26,284.820007,289.980011,284.700012,289.910004,289.910004,23280300
2019-12-27,291.119995,293.970001,288.119995,289.799988,289.799988,36566500
2019-12-30,289.459991,292.690002,285.220001,291.519989,291.519989,36028600
2019-12-31,289.929993,293.679993,289.519989,293.649994,293.649994,25201400
2020-01-02,296.239990,300.600006,295.190002,300.350006,300.350006,33870100
2020-01-03,297.149994,300.579987,296.500000,297.429993,297.429993,36580700
2020-01-06,293.790009,299.959991,292.750000,299.799988,299.799988,29596800
2020-01-07,299.839996,300.899994,297.480011,298.390015,298.390015,27218000
2020-01-08,297.160004,304.440002,297.160004,303.190002,303.190002,33019800
2020-01-09,307.239990,310.429993,306.200012,309.630005,309.630005,42527100
2020-01-10,310.600006,312.670013,308.250000,310.329987,310.329987,35161200
2020-01-13,311.640015,317.070007,311.149994,316.959991,316.959991,30383000
2020-01-14,316.700012,317.570007,312.170013,312.679993,312.679993,40488600
2020-01-15,311.850006,315.500000,309.549988,311.339996,311.339996,30480900
2020-01-16,313.589996,315.700012,312.089996,315.239990,315.239990,27207300
2020-01-17,316.269989,318.739990,315.000000,318.730011,318.730011,34454100
2020-01-21,317.190002,319.019989,316.000000,316.570007,316.570007,27710800
2020-01-22,318.579987,319.989990,317.309998,317.700012,317.700012,25458100
2020-01-23,317.920013,319.559998,315.649994,319.230011,319.230011,26118000
2020-01-24,320.250000,323.329987,317.519989,318.309998,318.309998,36634400
2020-01-27,310.059998,311.769989,304.880005,308.950012,308.950012,40485000
2020-01-28,312.600006,318.399994,312.190002,317.690002,317.690002,40221700
